label,session,dz,fwd,tercile,n,edge,wr,score,mom_avg,spread_atr,mode
NDX(self),NY,3.0,1,Mid,205,0.010887581952757998,0.5219512195121951,0.15588645021134595,0.12196921933613497,0.41,self
NDX(self),NY,3.0,1,High,199,0.02236139117575245,0.48743718592964824,0.3154462414543703,0.4607496528677619,0.41,self
NI225(self),Tokyo,2.0,1,ALL,2146,-0.031912426046078905,0.4748369058713886,-1.4783411991046902,0.14230101338385234,1.73,self
NI225(self),Tokyo,2.0,1,Low,709,-0.025735225965909915,0.46544428772919605,-0.6852532492160536,-0.08487909224265086,1.73,self
NI225(self),Tokyo,2.0,1,Mid,729,-0.013022229510031905,0.48010973936899864,-0.35160019677086146,0.029534597171733627,1.73,self
NI225(self),Tokyo,2.0,1,High,708,-0.05754884996079367,0.4788135593220339,-1.5312753029163106,0.48591317766044173,1.73,self
NI225(self),Tokyo,3.0,1,ALL,985,-0.05700815945905023,0.45989847715736043,-1.789184532471391,0.13726331788733218,1.73,self
NI225(self),Tokyo,3.0,1,Low,325,-0.05410784205025432,0.4676923076923077,-0.9754429945844926,-0.08862400062358605,1.73,self
NI225(self),Tokyo,3.0,1,Mid,335,-0.015745913504973997,0.4716417910447761,-0.2881975370393561,0.025010592042658573,1.73,self
NI225(self),Tokyo,3.0,1,High,325,-0.1024403303897401,0.44,-1.8467693194783994,0.4788572922689141,1.73,self
NI225(self),London,2.0,1,ALL,1977,-0.003511654171164349,0.47395042994436015,-0.15614032339630032,0.15106735022419412,1.73,self
NI225(self),London,2.0,1,Low,653,-0.025348935669376228,0.45176110260336905,-0.6477632718357255,-0.08549116868006582,1.73,self
NI225(self),London,2.0,1,Mid,672,0.004089449495586116,0.48660714285714285,0.10601064712051375,0.0363718212609667,1.73,self
NI225(self),London,2.0,1,High,652,0.010524853734166997,0.4831288343558282,0.26874467450332307,0.50620248566556,1.73,self
NI225(self),London,3.0,1,ALL,856,-0.027629001394950697,0.4602803738317757,-0.8083548915410561,0.15676625101723005,1.73,self
NI225(self),London,3.0,1,Low,284,-0.030134984842527808,0.4471830985915493,-0.5078437913910774,-0.07557746214305604,1.73,self
NI225(self),London,3.0,1,Mid,289,-0.032331032406284634,0.45674740484429066,-0.5496275509068388,0.04171158697167732,1.73,self
NI225(self),London,3.0,1,High,283,-0.020312442167433314,0.47703180212014135,-0.34170816763124995,0.5074249522422689,1.73,self
NI225(self),NY,2.0,1,ALL,980,0.05352855114381355,0.5142857142857142,1.6757087073249772,0.1526093252080704,1.73,self
NI225(self),NY,2.0,1,Low,324,0.017501508248090544,0.4691358024691358,0.3150271484656298,-0.07987126119395918,1.73,self
NI225(self),NY,2.0,1,Mid,332,0.05412199297600739,0.5210843373493976,0.9861496443576592,0.038759318924121225,1.73,self
NI225(self),NY,2.0,1,High,324,0.0889474993225972,0.5524691358024691,1.6010549878067495,0.5017510291603197,1.73,self
NI225(self),NY,3.0,1,ALL,411,0.1153482850226096,0.5450121654501217,2.3384713465204365,0.16481968357442592,1.73,self
NI225(self),NY,3.0,1,Low,136,0.06670721123443926,0.47058823529411764,0.7779330794945987,-0.07657477620116243,1.73,self
NI225(self),NY,3.0,1,Mid,139,0.13851895610203227,0.5827338129496403,1.6331144071203179,0.04803126478618861,1.73,self
NI225(self),NY,3.0,1,High,136,0.14030756998695823,0.5808823529411765,1.6362533821531875,0.5255787772585803,1.73,self
XAUUSD(self),Tokyo,2.0,1,ALL,873,-0.014019187370197108,0.4936998854524628,-0.41421894871742165,0.18040487043263112,1.4,self
XAUUSD(self),Tokyo,2.0,1,Low,289,-0.01134022015454677,0.5155709342560554,-0.19278374262729508,-0.06571602135023784,1.4,self
XAUUSD(self),Tokyo,2.0,1,Mid,296,0.0009606252769826458,0.49324324324324326,0.01652722218469527,0.08389405764632137,1.4,self
XAUUSD(self),Tokyo,2.0,1,High,288,-0.03210337510939211,0.4722222222222222,-0.5448123417318379,0.5265720173423423,1.4,self
XAUUSD(self),Tokyo,3.0,1,ALL,343,0.016974458319319288,0.49854227405247814,0.3143713674706518,0.20565353368114617,1.4,self
XAUUSD(self),Tokyo,3.0,1,Low,113,-0.0021525061092887753,0.5221238938053098,-0.02288145380454183,-0.059832587050448145,1.4,self
XAUUSD(self),Tokyo,3.0,1,Mid,117,0.029427600899989068,0.49572649572649574,0.3183081718764025,0.09892302613956422,1.4,self
XAUUSD(self),Tokyo,3.0,1,High,113,0.023207460960862215,0.4778761061946903,0.24669869395731234,0.5816482330177413,1.4,self
XAUUSD(self),London,2.0,1,ALL,909,-0.04919073440222795,0.46314631463146316,-1.48308228736195,0.17810330026456803,1.4,self
XAUUSD(self),London,2.0,1,Low,300,-0.07589951081146569,0.45666666666666667,-1.3146180899508189,-0.0662644664635305,1.4,self
XAUUSD(self),London,2.0,1,Mid,309,-0.08484366152449623,0.459546925566343,-1.4914154660499315,0.08266754349231946,1.4,self
XAUUSD(self),London,2.0,1,High,300,0.014240556942946085,0.47333333333333333,0.24665368153260353,0.5207698964680827,1.4,self
XAUUSD(self),London,3.0,1,ALL,384,-0.03619376584656511,0.4635416666666667,-0.7092500655508588,0.17382847601211315,1.4,self
XAUUSD(self),London,3.0,1,Low,128,-0.11133956227908048,0.4296875,-1.259663352030076,-0.0666858534611694,1.4,self
XAUUSD(self),London,3.0,1,Mid,129,-0.06458114189399995,0.4806201550387597,-0.733500771366296,0.07389933204913197,1.4,self
XAUUSD(self),London,3.0,1,High,127,0.06837815110997868,0.48031496062992124,0.7705826281138336,0.5177394503727806,1.4,self
XAUUSD(self),NY,2.0,1,ALL,488,-0.027357823791319368,0.5471311475409836,-0.6043540808394343,0.1639701386821225,1.4,self
XAUUSD(self),NY,2.0,1,Low,161,0.024685077420471817,0.6086956521739131,0.31321851894165625,-0.06728282035812712,1.4,self
XAUUSD(self),NY,2.0,1,Mid,166,-0.034383177377769615,0.5060240963855421,-0.44299625187368563,0.06997143396561348,1.4,self
XAUUSD(self),NY,2.0,1,High,161,-0.07215719273385131,0.5279503105590062,-0.915572135104633,0.49214101687107087,1.4,self
XAUUSD(self),NY,3.0,1,ALL,222,-0.021585494765872522,0.5720720720720721,-0.3216166284753125,0.1600826922207009,1.4,self
XAUUSD(self),NY,3.0,1,Low,73,0.07677288162556946,0.6712328767123288,0.6559477881476848,-0.061845855044096024,1.4,self
XAUUSD(self),NY,3.0,1,Mid,76,-0.015925661601217143,0.5131578947368421,-0.13883669905746338,0.0654825310865251,1.4,self
XAUUSD(self),NY,3.0,1,High,73,-0.12583630020544886,0.5342465753424658,-1.0751458202522561,0.48049907847450285,1.4,self
SP500->GDAXI,Tokyo,2.0,1,ALL,810,-0.010162079155608681,0.5061728395061729,-0.2892178430517967,0.13200639047169796,0.96,vega
SP500->GDAXI,Tokyo,2.0,1,Low,268,-0.03413425794849873,0.5,-0.5588018858291066,-0.06367641409942747,0.96,vega
SP500->GDAXI,Tokyo,2.0,1,Mid,276,-0.02097212983215286,0.4601449275362319,-0.348415188239954,0.0637403455321384,0.96,vega
SP500->GDAXI,Tokyo,2.0,1,High,266,0.02520678514221359,0.5601503759398496,0.4111102243641253,0.39999293193177327,0.96,vega
SP500->GDAXI,Tokyo,3.0,1,ALL,215,-0.058421084365467724,0.4790697674418605,-0.8566212501239833,0.17026097852283376,0.96,vega
SP500->GDAXI,Tokyo,3.0,1,Low,72,0.01727121993120496,0.4861111111111111,0.14655116079263142,-0.039475490657469116,0.96,vega
SP500->GDAXI,Tokyo,3.0,1,Mid,72,-0.004141504959861603,0.4722222222222222,-0.035141834897230315,0.09038543604750128,0.96,vega
SP500->GDAXI,Tokyo,3.0,1,High,71,-0.19022355797904628,0.4788732394366197,-1.6028521899179409,0.46395203259615403,0.96,vega
SP500->GDAXI,London,2.0,1,ALL,1095,-0.05513943362923757,0.4876712328767123,-1.824607099992664,0.12718527994223994,0.96,vega
SP500->GDAXI,London,2.0,1,Low,362,-0.009161102934993585,0.5193370165745856,-0.17430187069784536,-0.06428713445635077,0.96,vega
SP500->GDAXI,London,2.0,1,Mid,371,-0.03381123580572785,0.48247978436657685,-0.651250394510136,0.06251660483355682,0.96,vega
SP500->GDAXI,London,2.0,1,High,362,-0.12297622120890174,0.4613259668508287,-2.3397821812683985,0.3849341541897849,0.96,vega
SP500->GDAXI,London,3.0,1,ALL,332,-0.1376474081182808,0.45180722891566266,-2.50805513800593,0.15463138820700292,0.96,vega
SP500->GDAXI,London,3.0,1,Low,110,-0.08298772541862559,0.4818181818181818,-0.8703826070856951,-0.05662137750759971,0.96,vega
SP500->GDAXI,London,3.0,1,Mid,112,-0.15860255124306308,0.4732142857142857,-1.6784916315580922,0.07486093193564528,0.96,vega
SP500->GDAXI,London,3.0,1,High,110,-0.170970945090885,0.4,-1.7931583999133334,0.44710498212516975,0.96,vega
SP500->GDAXI,NY,2.0,1,ALL,614,-0.02108633995213147,0.4511400651465798,-0.5224989108143571,0.13680389383461067,0.96,vega
SP500->GDAXI,NY,2.0,1,Low,203,-0.028525621032786018,0.45320197044334976,-0.406427538716489,-0.06625580030215639,0.96,vega
SP500->GDAXI,NY,2.0,1,Mid,208,-0.053098036551883325,0.40865384615384615,-0.7657907736571058,0.06873481722296514,0.96,vega
SP500->GDAXI,NY,2.0,1,High,203,0.01915310316176635,0.49261083743842365,0.27288971440350884,0.4096092428246894,0.96,vega
SP500->GDAXI,NY,3.0,1,ALL,187,0.011909664480775675,0.48128342245989303,0.16286221232793535,0.16723289391919136,0.96,vega
SP500->GDAXI,NY,3.0,1,Low,62,0.048700420340649496,0.5645161290322581,0.3834674932299591,-0.043107795985471084,0.96,vega
SP500->GDAXI,NY,3.0,1,Mid,63,-0.0050551386359403575,0.4603174603174603,-0.0401239190209574,0.07535766736652626,0.96,vega
SP500->GDAXI,NY,3.0,1,High,62,-0.007642662405660877,0.41935483870967744,-0.0601783839605878,0.47093066886930374,0.96,vega
SP500->NI225,Tokyo,2.0,1,ALL,1133,-0.06055725350725571,0.46601941747572817,-2.03836111104081,0.20425312867482864,1.73,vega
SP500->NI225,Tokyo,2.0,1,Low,374,-0.0557734958199812,0.46524064171123,-1.078608075557135,-0.056622816519418334,1.73,vega
SP500->NI225,Tokyo,2.0,1,Mid,385,-0.03617581287699344,0.4805194805194805,-0.7098207050832125,0.058796355367179566,1.73,vega
SP500->NI225,Tokyo,2.0,1,High,374,-0.09043955301980018,0.45187165775401067,-1.749017715364126,0.614863987568126,1.73,vega
SP500->NI225,Tokyo,3.0,1,ALL,391,-0.08425607190199932,0.48081841432225064,-1.6660559684688743,0.23138309212338803,1.73,vega
SP500->NI225,Tokyo,3.0,1,Low,130,-0.08839231677406265,0.4846153846153846,-1.0078274735336454,-0.04909635429021002,1.73,vega
SP500->NI225,Tokyo,3.0,1,Mid,132,-0.07143257034672071,0.5151515151515151,-0.8206977507199437,0.08941446545815351,1.73,vega
SP500->NI225,Tokyo,3.0,1,High,129,-0.0932094856378796,0.4418604651162791,-1.0586562517934104,0.6593070204457037,1.73,vega
SP500->NI225,London,2.0,1,ALL,1254,-0.08557039244603895,0.48325358851674644,-3.0302069644604934,0.19805851660260237,1.73,vega
SP500->NI225,London,2.0,1,Low,415,-0.028839364537972707,0.4987951807228916,-0.5875025216847518,-0.06221504437130794,1.73,vega
SP500->NI225,London,2.0,1,Mid,425,-0.09373483703135585,0.4447058823529412,-1.9323931694016896,0.07186801895110163,1.73,vega
SP500->NI225,London,2.0,1,High,414,-0.1340570775501158,0.5072463768115942,-2.727658009554899,0.5885041429457439,1.73,vega
SP500->NI225,London,3.0,1,ALL,435,-0.03733470602011133,0.4850574712643678,-0.7786770312649139,0.2312433169588553,1.73,vega
SP500->NI225,London,3.0,1,Low,144,-0.050415828865764206,0.5,-0.6049899463891705,-0.06403348798434555,1.73,vega
